text,language,label,source
"Fever for 3 days now, going to the hospital today",en,1,synthetic
"Dengue cases rising in our neighborhood, stay safe everyone",en,1,synthetic
My whole family is sick with high fever and body ache,en,1,synthetic
"Hospital ER is packed today, so many patients with flu symptoms",en,1,synthetic
Anyone else in Mirpur getting sick? Half my office is down with fever,en,1,synthetic
Confirmed dengue in our building. Platelet count dropping fast,en,1,synthetic
"Feeling terrible, 104 fever since yesterday. Visiting Apollo now",en,1,synthetic
Outbreak alert: multiple dengue cases reported in Uttara sector 7,en,1,synthetic
My son has been vomiting and has high fever for 2 days,en,1,synthetic
Cough and cold spreading fast in our school. 30 students absent today,en,1,synthetic
Doctor confirmed dengue fever. Please use mosquito repellent,en,1,synthetic
Hospitals in Dhaka overwhelmed with dengue patients this week,en,1,synthetic
"Severe headache and joint pain, classic dengue symptoms. Going to doctor",en,1,synthetic
COVID cases rising again in Gulshan. Neighbors all sick,en,1,synthetic
My daughter has 103 fever and rash. Admitted to Square Hospital,en,1,synthetic
Warning: viral fever spreading in Banani area. Take precautions,en,1,synthetic
Feeling weak and nauseous since yesterday. Possible food poisoning,en,1,synthetic
Three people in my family down with dengue simultaneously,en,1,synthetic
Clinic near my house full of patients. Long queue since morning,en,1,synthetic
Sore throat and high temperature. Tested positive for flu,en,1,synthetic
Dengue platelet count at 40k. Admitted to CMH for treatment,en,1,synthetic
Fever outbreak in our locality. Government should spray mosquitoes,en,1,synthetic
My colleague has been sick for a week. Doctor says possible typhoid,en,1,synthetic
Chikungunya spreading in old Dhaka. Many families affected,en,1,synthetic
Body ache and fever since morning. Taking paracetamol but no relief,en,1,synthetic
Health alert: cholera cases detected near Buriganga river area,en,1,synthetic
Half the kids in my daughter school absent due to illness this week,en,1,synthetic
Respiratory infection spreading fast. Many people coughing in my area,en,1,synthetic
Blood test showed dengue NS1 positive. Starting treatment immediately,en,1,synthetic
Flu season hit hard this year. Everyone around me is getting sick,en,1,synthetic
Admitted to hospital with severe dehydration and diarrhea,en,1,synthetic
Outbreak of viral fever in Rampura. At least 20 cases reported,en,1,synthetic
My platelet count dropped to 30k. Doctors are concerned,en,1,synthetic
Fever and chills since last night. Cannot go to work today,en,1,synthetic
Mass illness in garment factory in Ashulia. Workers hospitalized,en,1,synthetic
Dengue season at its worst. Please eliminate standing water near your home,en,1,synthetic
Running high fever and tested positive for COVID again,en,1,synthetic
Multiple neighbors hospitalized with unknown fever. Authorities notified,en,1,synthetic
Severe stomach pain and vomiting all night. Going to emergency now,en,1,synthetic
Typhoid fever outbreak near Jatrabari. Water source suspected,en,1,synthetic
My uncle passed away from dengue complications. Very sad situation,en,1,synthetic
Whole classroom sick this week. Teacher says viral infection going around,en,1,synthetic
"High fever for 5 days. Doctor suspects dengue, doing blood test",en,1,synthetic
Disease spreading fast in flood-affected areas of Sylhet,en,1,synthetic
Cannot breathe properly. Going to hospital for chest X-ray,en,1,synthetic
Outbreak warning from IEDCR: dengue cases up 40% this week,en,1,synthetic
Skin rash and fever. Dermatologist thinks it might be measles,en,1,synthetic
Three hospitals near me are at full capacity due to patient surge,en,1,synthetic
Diarrhea and vomiting spreading in our village. No clean water access,en,1,synthetic
"Feeling very sick. High fever, body ache, loss of appetite since Tuesday",en,1,synthetic
Beautiful sunset at Hatirjheel today. Dhaka can be lovely sometimes,en,0,synthetic
Just finished my finals exam. So relieved it is over,en,0,synthetic
Traffic jam on Mirpur road as usual. Took 2 hours to reach office,en,0,synthetic
New restaurant opened in Gulshan. The biriyani is amazing,en,0,synthetic
Bangladesh cricket team won the series. What a match last night,en,0,synthetic
Looking for a good plumber in Dhanmondi area. Any recommendations?,en,0,synthetic
Eid shopping at Bashundhara City today. Huge crowd but great deals,en,0,synthetic
"My cat had kittens last night. So adorable, anyone want one?",en,0,synthetic
Power cut for 4 hours in Uttara today. DESCO please fix this,en,0,synthetic
Just got promoted at work. Hard work finally paying off,en,0,synthetic
